F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
0 of 0,0 of 0,15 of 35,1 of 1,0 of 1,14 of 33,3 of 4,0 of 0,44 of 75,5 of 5,5 of 7,37 of 67,0:00,0,0,---,0 of 0,15 of 35,42%,15 of 35,0,0:35,0,0,---,0 of 0,58 of 91,59%,47 of 79,2,2,http://ufcstats.com/fight-details/aa232e53d285cc6d
0 of 0,0 of 0,20 of 56,1 of 1,2 of 4,17 of 51,2 of 3,0 of 0,43 of 78,5 of 5,1 of 2,39 of 74,0:00,0,0,0%,0 of 2,20 of 56,35%,20 of 56,0,0:18,0,0,---,0 of 0,45 of 81,55%,45 of 81,1,3,http://ufcstats.com/fight-details/aa232e53d285cc6d
0 of 0,0 of 0,6 of 16,0 of 1,3 of 4,3 of 11,1 of 1,0 of 0,9 of 33,4 of 7,3 of 4,3 of 23,0:03,0,0,---,0 of 0,6 of 16,37%,6 of 16,0,1:06,0,1,66%,2 of 3,12 of 36,29%,10 of 34,0,1,http://ufcstats.com/fight-details/094790e50afae55e
5 of 6,0 of 0,4 of 12,2 of 3,4 of 5,3 of 10,0 of 0,2 of 3,2 of 10,0 of 0,0 of 1,4 of 12,3:14,0,0,---,0 of 0,25 of 37,50%,9 of 18,0,0:19,0,1,50%,1 of 2,8 of 17,30%,4 of 13,0,1,http://ufcstats.com/fight-details/22307b580e0c8d0d
0 of 0,0 of 1,24 of 49,5 of 6,5 of 12,14 of 32,0 of 0,2 of 4,13 of 54,6 of 7,5 of 10,4 of 41,0:00,0,0,---,0 of 0,24 of 50,48%,24 of 50,0,0:00,0,0,---,0 of 0,15 of 58,25%,15 of 58,0,2,http://ufcstats.com/fight-details/22307b580e0c8d0d
1 of 1,1 of 1,15 of 45,3 of 5,4 of 7,10 of 35,0 of 0,1 of 6,11 of 45,0 of 1,0 of 3,12 of 47,0:29,0,0,100%,2 of 2,18 of 48,36%,17 of 47,0,0:45,0,0,---,0 of 0,13 of 52,23%,12 of 51,0,3,http://ufcstats.com/fight-details/22307b580e0c8d0d
2 of 2,0 of 0,0 of 1,1 of 2,0 of 0,1 of 1,2 of 5,3 of 5,1 of 1,0 of 0,2 of 3,4 of 8,3:35,0,2,100%,2 of 2,7 of 10,66%,2 of 3,0,1:12,1,0,100%,1 of 1,9 of 14,54%,6 of 11,0,1,http://ufcstats.com/fight-details/e6a0f19af995c432
0 of 0,0 of 0,1 of 8,1 of 1,0 of 0,0 of 7,2 of 2,0 of 0,8 of 17,2 of 3,1 of 1,7 of 15,0:43,0,0,100%,1 of 1,1 of 8,12%,1 of 8,0,0:00,0,1,---,0 of 0,15 of 24,52%,10 of 19,0,2,http://ufcstats.com/fight-details/e6a0f19af995c432
0 of 0,6 of 6,11 of 37,6 of 10,7 of 9,4 of 24,0 of 0,4 of 4,17 of 39,4 of 5,7 of 8,10 of 30,1:03,0,0,100%,1 of 1,42 of 68,39%,17 of 43,0,0:28,0,0,---,0 of 0,36 of 59,48%,21 of 43,0,1,http://ufcstats.com/fight-details/80ce8f7d988d5e57
2 of 3,1 of 1,14 of 42,2 of 3,4 of 8,11 of 35,2 of 3,0 of 0,12 of 35,2 of 2,2 of 7,10 of 29,2:15,0,0,50%,1 of 2,74 of 103,36%,17 of 46,0,0:00,0,0,---,0 of 0,24 of 48,36%,14 of 38,0,2,http://ufcstats.com/fight-details/80ce8f7d988d5e57
0 of 0,0 of 1,24 of 68,5 of 5,3 of 8,16 of 56,0 of 0,0 of 0,39 of 82,2 of 2,6 of 12,31 of 68,0:02,0,0,0%,0 of 6,24 of 70,34%,24 of 69,0,0:00,0,0,---,0 of 0,40 of 83,47%,39 of 82,0,3,http://ufcstats.com/fight-details/80ce8f7d988d5e57
4 of 8,0 of 0,4 of 12,0 of 0,0 of 0,8 of 20,10 of 13,0 of 0,12 of 25,0 of 1,3 of 3,19 of 34,2:31,0,0,100%,1 of 1,51 of 70,40%,8 of 20,0,2:09,0,0,---,0 of 0,56 of 73,57%,22 of 38,1,1,http://ufcstats.com/fight-details/1800ffbb34ac7ed8
2 of 2,0 of 0,1 of 12,0 of 0,0 of 0,3 of 14,1 of 2,0 of 0,5 of 15,0 of 0,1 of 1,5 of 16,0:08,0,1,0%,0 of 1,14 of 27,21%,3 of 14,0,4:16,0,0,---,0 of 0,73 of 92,35%,6 of 17,0,2,http://ufcstats.com/fight-details/1800ffbb34ac7ed8
3 of 6,0 of 0,1 of 2,0 of 0,0 of 0,4 of 8,2 of 3,0 of 0,1 of 5,0 of 0,0 of 0,3 of 8,2:00,0,0,100%,1 of 1,25 of 31,50%,4 of 8,0,2:23,1,1,---,0 of 0,46 of 59,37%,3 of 8,0,3,http://ufcstats.com/fight-details/1800ffbb34ac7ed8
0 of 0,0 of 0,21 of 87,0 of 0,1 of 1,20 of 86,0 of 0,1 of 1,40 of 81,5 of 8,6 of 8,30 of 66,0:00,0,0,---,0 of 0,22 of 88,24%,21 of 87,0,0:00,0,0,0%,0 of 1,41 of 82,50%,41 of 82,0,1,http://ufcstats.com/fight-details/18e1b0df8da7010e
0 of 0,6 of 6,0 of 3,0 of 0,5 of 5,1 of 4,0 of 0,11 of 11,0 of 3,2 of 2,6 of 6,3 of 6,0:02,0,0,---,0 of 0,37 of 40,66%,6 of 9,0,4:43,0,0,14%,1 of 7,36 of 39,78%,11 of 14,0,2,http://ufcstats.com/fight-details/18e1b0df8da7010e
2 of 2,0 of 0,11 of 27,1 of 2,1 of 1,11 of 26,21 of 25,0 of 0,6 of 19,3 of 3,4 of 4,20 of 37,0:00,0,0,---,0 of 0,17 of 33,44%,13 of 29,0,4:04,0,0,100%,1 of 1,78 of 103,61%,27 of 44,0,3,http://ufcstats.com/fight-details/18e1b0df8da7010e
0 of 0,0 of 0,15 of 52,4 of 4,0 of 3,11 of 45,0 of 0,0 of 0,34 of 95,12 of 12,8 of 15,14 of 68,0:00,0,0,---,0 of 0,15 of 52,28%,15 of 52,0,0:00,0,0,---,0 of 0,34 of 95,35%,34 of 95,0,1,http://ufcstats.com/fight-details/c3bb60dc82345a9f
0 of 0,0 of 0,21 of 64,1 of 1,4 of 10,16 of 53,0 of 0,0 of 0,32 of 90,13 of 13,4 of 11,15 of 66,0:00,0,0,---,0 of 0,21 of 64,32%,21 of 64,0,0:06,0,0,0%,0 of 2,32 of 90,35%,32 of 90,0,2,http://ufcstats.com/fight-details/c3bb60dc82345a9f
9 of 9,0 of 0,35 of 88,3 of 3,7 of 8,34 of 86,1 of 1,0 of 0,29 of 64,11 of 11,2 of 7,17 of 47,0:00,0,0,---,0 of 0,91 of 144,45%,44 of 97,0,0:46,0,0,50%,1 of 2,34 of 70,46%,30 of 65,0,3,http://ufcstats.com/fight-details/c3bb60dc82345a9f
0 of 0,0 of 0,11 of 40,1 of 3,1 of 6,9 of 31,0 of 0,0 of 0,23 of 45,5 of 7,9 of 11,9 of 27,0:00,0,0,0%,0 of 1,16 of 45,27%,11 of 40,0,0:00,0,0,---,0 of 0,23 of 45,51%,23 of 45,0,1,http://ufcstats.com/fight-details/3cd1f2c31b4e325a
0 of 0,0 of 0,14 of 38,4 of 5,6 of 14,4 of 19,0 of 0,0 of 0,32 of 51,8 of 9,12 of 14,12 of 28,0:00,0,0,0%,0 of 1,14 of 38,36%,14 of 38,0,0:00,0,0,---,0 of 0,32 of 51,62%,32 of 51,0,2,http://ufcstats.com/fight-details/3cd1f2c31b4e325a
0 of 0,0 of 0,21 of 57,5 of 6,6 of 9,10 of 42,0 of 0,0 of 0,31 of 56,3 of 3,5 of 7,23 of 46,0:00,0,0,---,0 of 0,21 of 57,36%,21 of 57,0,0:00,0,0,---,0 of 0,31 of 56,55%,31 of 56,0,3,http://ufcstats.com/fight-details/3cd1f2c31b4e325a
0 of 0,5 of 7,10 of 35,2 of 4,5 of 7,8 of 31,0 of 0,7 of 7,11 of 21,7 of 7,7 of 7,4 of 14,1:01,0,0,---,0 of 0,18 of 48,35%,15 of 42,0,0:42,0,0,25%,1 of 4,21 of 31,64%,18 of 28,0,1,http://ufcstats.com/fight-details/071a1cd551b7b4d5
0 of 2,4 of 4,9 of 23,1 of 1,5 of 5,7 of 23,0 of 0,12 of 14,7 of 19,3 of 3,10 of 10,6 of 20,1:29,0,0,100%,1 of 1,20 of 36,44%,13 of 29,0,1:37,0,0,0%,0 of 4,21 of 37,57%,19 of 33,1,2,http://ufcstats.com/fight-details/071a1cd551b7b4d5
0 of 0,6 of 6,11 of 26,1 of 1,2 of 2,14 of 29,0 of 0,16 of 22,10 of 19,6 of 8,8 of 8,12 of 25,2:56,0,0,0%,0 of 1,26 of 43,53%,17 of 32,0,0:00,0,0,0%,0 of 1,38 of 53,63%,26 of 41,0,1,http://ufcstats.com/fight-details/408fc024d3e91b0e
0 of 0,4 of 5,23 of 46,0 of 0,1 of 3,26 of 48,0 of 0,16 of 24,19 of 37,7 of 7,3 of 5,25 of 49,0:48,0,0,---,0 of 0,28 of 52,52%,27 of 51,0,1:31,0,0,0%,0 of 1,44 of 70,57%,35 of 61,0,2,http://ufcstats.com/fight-details/408fc024d3e91b0e
0 of 0,0 of 0,9 of 19,0 of 0,1 of 1,8 of 18,2 of 2,11 of 13,7 of 23,2 of 3,6 of 6,12 of 29,2:30,0,0,66%,2 of 3,16 of 29,47%,9 of 19,0,0:49,0,0,0%,0 of 2,39 of 60,52%,20 of 38,0,3,http://ufcstats.com/fight-details/408fc024d3e91b0e
0 of 0,6 of 6,4 of 21,0 of 1,1 of 1,9 of 25,0 of 0,0 of 0,12 of 32,7 of 7,0 of 0,5 of 25,1:45,0,0,0%,0 of 3,14 of 31,37%,10 of 27,0,0:03,0,1,---,0 of 0,13 of 34,37%,12 of 32,0,1,http://ufcstats.com/fight-details/1317d7cd79495a0e
0 of 0,0 of 0,8 of 28,2 of 3,0 of 1,6 of 24,0 of 0,0 of 0,15 of 37,8 of 8,0 of 0,7 of 29,0:59,0,0,0%,0 of 3,16 of 36,28%,8 of 28,0,0:08,0,1,---,0 of 0,21 of 43,40%,15 of 37,0,2,http://ufcstats.com/fight-details/1317d7cd79495a0e
0 of 0,0 of 0,12 of 37,0 of 0,1 of 2,11 of 35,0 of 0,0 of 0,14 of 71,4 of 6,0 of 0,10 of 65,0:00,0,0,0%,0 of 3,13 of 38,32%,12 of 37,0,0:00,0,0,---,0 of 0,14 of 71,19%,14 of 71,0,3,http://ufcstats.com/fight-details/1317d7cd79495a0e
0 of 0,0 of 0,10 of 27,4 of 4,3 of 7,3 of 16,0 of 0,0 of 0,30 of 60,18 of 25,7 of 10,5 of 25,0:00,0,0,---,0 of 0,10 of 27,37%,10 of 27,0,0:00,0,0,---,0 of 0,30 of 60,50%,30 of 60,0,1,http://ufcstats.com/fight-details/f820c6292e19d854
0 of 1,1 of 1,14 of 25,5 of 5,4 of 4,6 of 18,0 of 0,0 of 0,20 of 46,9 of 15,10 of 12,1 of 19,0:37,0,0,100%,1 of 1,22 of 36,55%,15 of 27,0,0:00,0,0,---,0 of 0,21 of 47,43%,20 of 46,0,2,http://ufcstats.com/fight-details/f820c6292e19d854
0 of 0,0 of 0,7 of 24,5 of 6,0 of 4,2 of 14,0 of 0,0 of 0,14 of 32,4 of 5,6 of 12,4 of 15,1:09,0,0,0%,0 of 1,15 of 32,29%,7 of 24,0,0:11,0,0,0%,0 of 1,31 of 51,43%,14 of 32,0,3,http://ufcstats.com/fight-details/f820c6292e19d854
0 of 0,1 of 1,4 of 19,0 of 0,1 of 2,4 of 18,0 of 0,2 of 3,18 of 34,2 of 4,8 of 11,10 of 22,0:18,0,0,---,0 of 0,8 of 23,25%,5 of 20,0,1:08,0,0,0%,0 of 2,28 of 46,54%,20 of 37,0,1,http://ufcstats.com/fight-details/343749a2f7c5d78b
0 of 0,0 of 0,1 of 2,0 of 0,1 of 1,0 of 1,17 of 18,2 of 2,3 of 5,2 of 2,4 of 5,16 of 18,0:02,0,0,0%,0 of 2,5 of 6,50%,1 of 2,0,4:25,0,0,100%,1 of 1,61 of 72,88%,22 of 25,0,2,http://ufcstats.com/fight-details/343749a2f7c5d78b
0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,2 of 5,0 of 0,0 of 0,2 of 5,0:00,0,0,---,0 of 0,0 of 4,0%,0 of 4,0,0:01,0,0,---,0 of 0,2 of 5,40%,2 of 5,1,3,http://ufcstats.com/fight-details/343749a2f7c5d78b
0 of 0,1 of 1,14 of 27,8 of 10,0 of 1,7 of 17,0 of 0,0 of 0,5 of 13,3 of 3,0 of 0,2 of 10,0:00,0,0,---,0 of 0,17 of 30,53%,15 of 28,0,2:30,0,0,0%,0 of 5,5 of 13,38%,5 of 13,0,1,http://ufcstats.com/fight-details/c8dfcbee63266273
0 of 0,1 of 1,4 of 12,2 of 2,0 of 1,3 of 10,3 of 3,0 of 0,2 of 6,0 of 0,3 of 4,2 of 5,0:03,0,0,---,0 of 0,41 of 50,38%,5 of 13,0,4:02,0,0,40%,2 of 5,25 of 29,55%,5 of 9,0,2,http://ufcstats.com/fight-details/c8dfcbee63266273
0 of 0,0 of 0,5 of 10,3 of 3,0 of 1,2 of 6,1 of 2,0 of 0,1 of 4,0 of 0,0 of 0,2 of 6,0:04,0,0,---,0 of 0,130 of 139,50%,5 of 10,0,4:03,0,0,100%,2 of 2,26 of 37,33%,2 of 6,0,3,http://ufcstats.com/fight-details/c8dfcbee63266273
0 of 0,0 of 0,12 of 28,3 of 3,4 of 8,5 of 17,0 of 0,1 of 1,8 of 37,5 of 5,1 of 4,3 of 29,0:00,0,0,---,0 of 0,12 of 28,42%,12 of 28,0,0:06,0,0,---,0 of 0,9 of 38,23%,9 of 38,0,1,http://ufcstats.com/fight-details/495e64df4c4ce7a7
0 of 0,0 of 0,11 of 30,0 of 0,7 of 7,4 of 23,0 of 0,0 of 0,18 of 41,15 of 17,1 of 3,2 of 21,0:00,0,0,---,0 of 0,11 of 30,36%,11 of 30,0,0:00,0,0,---,0 of 0,18 of 41,43%,18 of 41,0,2,http://ufcstats.com/fight-details/495e64df4c4ce7a7
0 of 0,0 of 0,14 of 37,0 of 0,4 of 5,10 of 32,0 of 0,1 of 1,15 of 37,6 of 8,1 of 3,9 of 27,0:02,0,0,0%,0 of 1,15 of 38,37%,14 of 37,0,0:50,0,1,33%,1 of 3,16 of 38,42%,16 of 38,0,3,http://ufcstats.com/fight-details/495e64df4c4ce7a7
0 of 0,0 of 0,4 of 9,1 of 1,0 of 0,3 of 8,0 of 0,0 of 0,2 of 11,1 of 1,1 of 3,0 of 7,1:50,0,0,100%,1 of 1,22 of 34,44%,4 of 9,0,0:00,0,2,---,0 of 0,25 of 34,18%,2 of 11,0,1,http://ufcstats.com/fight-details/1af574c0814429ac
0 of 0,1 of 1,7 of 15,6 of 6,1 of 2,1 of 8,0 of 0,1 of 2,15 of 47,4 of 4,2 of 3,10 of 42,1:03,0,0,0%,0 of 1,8 of 16,50%,8 of 16,0,0:22,0,0,---,0 of 0,19 of 52,32%,16 of 49,0,1,http://ufcstats.com/fight-details/a7807ab56cb49cad
7 of 10,0 of 0,0 of 2,0 of 0,3 of 4,4 of 8,0 of 0,0 of 0,2 of 8,0 of 0,0 of 0,2 of 8,3:41,0,0,100%,2 of 2,17 of 23,58%,7 of 12,0,0:00,0,0,---,0 of 0,8 of 14,25%,2 of 8,0,2,http://ufcstats.com/fight-details/a7807ab56cb49cad
0 of 0,0 of 0,5 of 21,0 of 0,2 of 3,3 of 18,0 of 0,0 of 0,10 of 41,0 of 0,0 of 1,10 of 40,1:35,0,0,20%,1 of 5,13 of 32,23%,5 of 21,0,1:33,0,0,---,0 of 0,29 of 62,24%,10 of 41,0,3,http://ufcstats.com/fight-details/a7807ab56cb49cad
0 of 0,0 of 0,19 of 50,4 of 5,2 of 4,13 of 41,0 of 0,1 of 2,23 of 72,6 of 6,1 of 7,17 of 61,0:18,0,0,0%,0 of 2,21 of 52,38%,19 of 50,0,0:07,0,0,---,0 of 0,27 of 77,32%,24 of 74,0,1,http://ufcstats.com/fight-details/c814ef3b3a26e2fe
0 of 0,0 of 0,24 of 54,8 of 9,4 of 7,12 of 38,0 of 0,2 of 4,33 of 75,2 of 2,4 of 11,29 of 66,0:00,0,0,---,0 of 0,27 of 57,44%,24 of 54,0,0:18,0,0,---,0 of 0,36 of 80,44%,35 of 79,0,2,http://ufcstats.com/fight-details/c814ef3b3a26e2fe
0 of 0,0 of 0,22 of 53,10 of 10,0 of 5,12 of 38,0 of 0,2 of 3,37 of 82,5 of 6,9 of 12,25 of 67,0:00,0,0,---,0 of 0,23 of 54,41%,22 of 53,0,0:24,0,0,0%,0 of 1,40 of 86,45%,39 of 85,0,3,http://ufcstats.com/fight-details/c814ef3b3a26e2fe
1 of 8,1 of 2,9 of 18,1 of 2,6 of 9,4 of 17,2 of 6,0 of 0,13 of 20,5 of 7,8 of 11,2 of 8,0:11,1,0,---,0 of 0,12 of 30,39%,11 of 28,0,1:56,0,0,100%,2 of 2,16 of 28,57%,15 of 26,0,1,http://ufcstats.com/fight-details/f0418c2c989a5cde
2 of 6,0 of 0,5 of 15,3 of 4,2 of 4,2 of 13,1 of 2,0 of 1,7 of 9,3 of 3,1 of 2,4 of 7,0:47,1,0,---,0 of 0,15 of 29,33%,7 of 21,0,2:08,1,0,50%,2 of 4,10 of 16,66%,8 of 12,0,2,http://ufcstats.com/fight-details/f0418c2c989a5cde
3 of 4,3 of 3,11 of 32,1 of 3,6 of 9,10 of 27,0 of 1,0 of 1,7 of 23,2 of 2,3 of 6,2 of 17,0:00,0,0,---,0 of 0,30 of 52,43%,17 of 39,0,1:58,0,0,66%,2 of 3,8 of 26,28%,7 of 25,0,3,http://ufcstats.com/fight-details/f0418c2c989a5cde
0 of 0,5 of 5,8 of 22,3 of 3,3 of 5,7 of 19,18 of 30,7 of 9,10 of 15,2 of 2,12 of 18,21 of 34,0:19,0,0,---,0 of 0,34 of 52,48%,13 of 27,0,2:58,0,0,---,0 of 0,37 of 57,64%,35 of 54,1,1,http://ufcstats.com/fight-details/ac0a63ad13897564
0 of 0,2 of 4,9 of 27,3 of 4,4 of 6,4 of 21,10 of 13,11 of 13,18 of 32,3 of 3,7 of 8,29 of 47,0:12,0,0,---,0 of 0,34 of 56,35%,11 of 31,0,2:06,0,0,100%,1 of 1,39 of 60,67%,39 of 58,1,2,http://ufcstats.com/fight-details/ac0a63ad13897564
0 of 0,3 of 4,16 of 42,2 of 2,5 of 10,12 of 34,12 of 19,2 of 3,24 of 45,2 of 3,8 of 9,28 of 55,0:13,0,0,0%,0 of 2,57 of 86,41%,19 of 46,0,1:52,0,0,---,0 of 0,38 of 67,56%,38 of 67,0,3,http://ufcstats.com/fight-details/ac0a63ad13897564
0 of 0,9 of 12,2 of 11,8 of 11,2 of 4,1 of 8,0 of 0,1 of 3,6 of 13,5 of 6,0 of 0,2 of 10,1:35,0,0,---,0 of 0,15 of 31,47%,11 of 23,0,0:30,0,0,---,0 of 0,7 of 17,43%,7 of 16,0,1,http://ufcstats.com/fight-details/7c40aa2cb6883a91
0 of 0,2 of 2,12 of 23,8 of 9,4 of 5,2 of 11,0 of 0,1 of 2,11 of 21,6 of 7,1 of 1,5 of 15,0:41,0,0,0%,0 of 1,18 of 30,56%,14 of 25,0,0:04,0,0,---,0 of 0,13 of 24,52%,12 of 23,0,2,http://ufcstats.com/fight-details/7c40aa2cb6883a91
0 of 0,3 of 4,12 of 29,5 of 6,5 of 5,5 of 22,0 of 0,0 of 1,17 of 27,4 of 4,1 of 1,12 of 23,0:27,0,0,33%,1 of 3,17 of 35,45%,15 of 33,0,0:04,0,0,50%,1 of 2,17 of 28,60%,17 of 28,0,3,http://ufcstats.com/fight-details/7c40aa2cb6883a91
0 of 0,1 of 2,37 of 65,22 of 26,6 of 6,10 of 35,0 of 0,2 of 2,30 of 48,4 of 5,3 of 3,25 of 42,0:01,0,0,---,0 of 0,38 of 67,56%,38 of 67,0,0:00,0,0,---,0 of 0,32 of 50,64%,32 of 50,0,1,http://ufcstats.com/fight-details/28deed0ab55ca350
0 of 0,0 of 1,25 of 60,14 of 18,2 of 9,9 of 34,0 of 0,1 of 1,50 of 90,1 of 1,7 of 8,43 of 82,0:00,0,0,---,0 of 0,25 of 61,40%,25 of 61,0,0:00,0,0,---,0 of 0,51 of 91,56%,51 of 91,0,2,http://ufcstats.com/fight-details/28deed0ab55ca350
0 of 0,0 of 0,14 of 47,6 of 6,1 of 3,7 of 38,9 of 12,0 of 0,46 of 89,1 of 1,11 of 12,43 of 88,0:00,0,0,---,0 of 0,14 of 47,29%,14 of 47,0,0:11,0,0,---,0 of 0,55 of 101,54%,55 of 101,1,3,http://ufcstats.com/fight-details/28deed0ab55ca350
0 of 0,3 of 3,1 of 2,0 of 0,3 of 3,1 of 2,0 of 0,6 of 13,2 of 5,0 of 0,3 of 5,5 of 13,0:44,0,0,50%,1 of 2,23 of 24,80%,4 of 5,0,1:53,0,0,100%,1 of 1,9 of 19,44%,8 of 18,0,1,http://ufcstats.com/fight-details/f870cacadb058733
0 of 0,4 of 6,5 of 10,1 of 1,2 of 4,6 of 11,0 of 0,11 of 20,3 of 9,2 of 2,2 of 2,10 of 25,1:32,0,1,100%,2 of 2,13 of 22,56%,9 of 16,0,0:14,0,0,0%,0 of 1,14 of 29,48%,14 of 29,0,2,http://ufcstats.com/fight-details/f870cacadb058733
0 of 0,1 of 5,6 of 12,0 of 0,2 of 3,5 of 14,0 of 0,5 of 8,4 of 13,0 of 1,3 of 4,6 of 16,1:04,0,0,0%,0 of 2,25 of 37,41%,7 of 17,0,0:00,0,0,0%,0 of 1,9 of 21,42%,9 of 21,0,3,http://ufcstats.com/fight-details/f870cacadb058733
0 of 0,0 of 0,9 of 46,1 of 1,0 of 0,8 of 45,1 of 1,0 of 2,20 of 56,0 of 0,2 of 4,19 of 55,0:00,0,0,0%,0 of 1,9 of 46,19%,9 of 46,0,0:01,0,0,---,0 of 0,21 of 59,35%,21 of 59,1,1,http://ufcstats.com/fight-details/d5955b81c26230ff
0 of 0,0 of 0,1 of 3,1 of 1,0 of 0,0 of 2,7 of 11,10 of 13,5 of 15,0 of 0,1 of 1,21 of 38,0:19,0,0,---,0 of 0,1 of 3,33%,1 of 3,0,0:22,0,0,50%,1 of 2,26 of 43,56%,22 of 39,1,1,http://ufcstats.com/fight-details/a2af14e9dba37b03
1 of 1,0 of 0,7 of 13,0 of 0,0 of 0,8 of 14,0 of 0,1 of 2,5 of 15,0 of 0,2 of 2,4 of 15,2:45,0,1,30%,3 of 10,9 of 15,57%,8 of 14,0,0:36,0,0,---,0 of 0,16 of 27,35%,6 of 17,0,1,http://ufcstats.com/fight-details/216fddf542707629
0 of 0,0 of 0,5 of 16,0 of 0,0 of 0,5 of 16,12 of 15,1 of 1,14 of 28,2 of 3,14 of 16,11 of 25,1:16,0,0,0%,0 of 5,5 of 16,31%,5 of 16,0,1:12,0,0,---,0 of 0,61 of 83,61%,27 of 44,0,2,http://ufcstats.com/fight-details/216fddf542707629
0 of 0,0 of 0,9 of 18,0 of 0,1 of 2,8 of 16,39 of 45,13 of 14,20 of 35,1 of 1,25 of 25,46 of 68,0:18,0,0,0%,0 of 4,9 of 18,50%,9 of 18,0,1:43,0,0,---,0 of 0,84 of 107,76%,72 of 94,1,3,http://ufcstats.com/fight-details/216fddf542707629
0 of 0,0 of 1,3 of 22,1 of 3,1 of 1,1 of 19,2 of 2,2 of 4,10 of 32,0 of 0,2 of 2,12 of 36,0:00,0,0,---,0 of 0,3 of 23,13%,3 of 23,0,0:04,0,0,---,0 of 0,14 of 38,36%,14 of 38,2,1,http://ufcstats.com/fight-details/a3e8ef1ce72a7d02
0 of 0,0 of 0,4 of 9,3 of 3,0 of 0,1 of 6,0 of 0,0 of 0,5 of 9,1 of 1,0 of 0,4 of 8,0:00,0,0,---,0 of 0,4 of 9,44%,4 of 9,0,0:02,0,0,---,0 of 0,5 of 9,55%,5 of 9,1,1,http://ufcstats.com/fight-details/83f7c3b91a402306
0 of 0,1 of 1,21 of 72,9 of 9,2 of 3,11 of 61,0 of 0,0 of 0,21 of 61,1 of 2,4 of 7,16 of 52,0:33,0,0,---,0 of 0,26 of 77,30%,22 of 73,0,0:00,0,0,---,0 of 0,22 of 62,34%,21 of 61,0,1,http://ufcstats.com/fight-details/515ecc54219bcc4c
0 of 0,0 of 0,23 of 102,10 of 13,1 of 4,12 of 85,0 of 0,0 of 0,32 of 75,7 of 8,7 of 9,18 of 58,0:00,0,0,---,0 of 0,23 of 102,22%,23 of 102,0,0:00,0,0,0%,0 of 1,32 of 75,42%,32 of 75,0,2,http://ufcstats.com/fight-details/515ecc54219bcc4c
0 of 1,0 of 1,13 of 54,3 of 3,2 of 6,8 of 47,0 of 0,0 of 0,20 of 44,5 of 7,4 of 5,11 of 32,1:58,0,0,50%,1 of 2,25 of 69,23%,13 of 56,0,0:00,0,0,---,0 of 0,55 of 80,45%,20 of 44,0,3,http://ufcstats.com/fight-details/515ecc54219bcc4c
0 of 0,3 of 3,6 of 21,3 of 3,5 of 8,1 of 13,0 of 0,8 of 9,24 of 48,5 of 6,4 of 5,23 of 46,0:24,0,0,0%,0 of 1,9 of 26,37%,9 of 24,0,0:08,0,0,---,0 of 0,37 of 65,56%,32 of 57,0,1,http://ufcstats.com/fight-details/a6c29d2cb319d923
0 of 0,0 of 0,9 of 43,0 of 0,6 of 13,3 of 30,0 of 0,0 of 0,24 of 54,5 of 5,1 of 4,18 of 45,0:00,0,0,---,0 of 0,9 of 43,20%,9 of 43,0,0:00,0,0,---,0 of 0,24 of 54,44%,24 of 54,0,2,http://ufcstats.com/fight-details/a6c29d2cb319d923
0 of 0,0 of 0,5 of 16,0 of 0,3 of 5,2 of 11,1 of 1,0 of 0,11 of 22,0 of 0,1 of 1,11 of 22,0:00,0,0,---,0 of 0,5 of 16,31%,5 of 16,0,0:02,0,0,---,0 of 0,12 of 23,52%,12 of 23,1,3,http://ufcstats.com/fight-details/a6c29d2cb319d923
0 of 0,1 of 1,5 of 30,0 of 0,3 of 6,3 of 25,0 of 0,2 of 2,11 of 37,5 of 8,6 of 14,2 of 17,0:00,0,0,0%,0 of 1,12 of 39,19%,6 of 31,0,0:51,0,0,---,0 of 0,26 of 53,33%,13 of 39,0,1,http://ufcstats.com/fight-details/d7cbe2f23d75afd1
0 of 0,1 of 4,8 of 38,0 of 0,3 of 7,6 of 35,4 of 4,1 of 1,9 of 32,7 of 7,3 of 7,4 of 23,0:43,0,0,100%,1 of 1,20 of 54,21%,9 of 42,0,1:25,1,0,---,0 of 0,23 of 47,37%,14 of 37,0,2,http://ufcstats.com/fight-details/d7cbe2f23d75afd1
0 of 0,2 of 3,15 of 48,0 of 1,5 of 9,12 of 41,0 of 0,8 of 11,20 of 52,3 of 3,16 of 21,9 of 39,0:13,0,0,0%,0 of 1,32 of 69,33%,17 of 51,0,1:23,0,0,---,0 of 0,34 of 70,44%,28 of 63,0,3,http://ufcstats.com/fight-details/d7cbe2f23d75afd1
