F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
0 of 0,0 of 1,17 of 44,2 of 4,6 of 14,9 of 27,0 of 0,0 of 0,25 of 44,9 of 11,3 of 4,13 of 29,1:24,0,0,100%,1 of 1,19 of 47,37%,17 of 45,0,0:04,0,0,---,0 of 0,30 of 49,56%,25 of 44,0,5,http://ufcstats.com/fight-details/09a2909e1848be52
1 of 1,3 of 4,1 of 4,0 of 0,2 of 2,3 of 7,0 of 0,9 of 11,11 of 25,5 of 6,9 of 11,6 of 19,2:14,0,0,---,0 of 0,27 of 32,55%,5 of 9,0,0:55,0,0,---,0 of 0,25 of 43,55%,20 of 36,0,1,http://ufcstats.com/fight-details/6bde0b88f21304d4
0 of 0,0 of 3,11 of 34,2 of 2,0 of 0,9 of 35,0 of 0,1 of 1,38 of 49,12 of 12,10 of 11,17 of 27,0:00,0,0,---,0 of 0,15 of 41,29%,11 of 37,0,0:00,0,0,---,0 of 0,40 of 51,78%,39 of 50,0,2,http://ufcstats.com/fight-details/6bde0b88f21304d4
0 of 0,1 of 2,9 of 21,1 of 2,3 of 3,6 of 18,0 of 0,3 of 3,29 of 47,3 of 3,5 of 5,24 of 42,0:30,0,1,---,0 of 0,13 of 26,43%,10 of 23,0,0:09,0,0,0%,0 of 1,33 of 51,64%,32 of 50,0,3,http://ufcstats.com/fight-details/6bde0b88f21304d4
0 of 0,5 of 5,11 of 36,3 of 3,2 of 2,11 of 36,0 of 0,4 of 4,8 of 31,0 of 0,4 of 4,8 of 31,1:45,0,0,0%,0 of 3,29 of 55,39%,16 of 41,0,0:14,0,0,---,0 of 0,19 of 42,34%,12 of 35,0,1,http://ufcstats.com/fight-details/cee1fb8ac703f34f
0 of 0,0 of 0,14 of 43,0 of 0,4 of 6,10 of 37,1 of 1,4 of 5,3 of 21,0 of 0,2 of 2,6 of 25,0:37,0,0,0%,0 of 1,21 of 50,32%,14 of 43,0,0:45,0,0,100%,1 of 1,12 of 31,29%,8 of 27,0,2,http://ufcstats.com/fight-details/cee1fb8ac703f34f
0 of 0,4 of 5,7 of 30,0 of 0,2 of 4,9 of 31,0 of 0,3 of 4,10 of 29,0 of 0,5 of 5,8 of 28,0:16,0,0,100%,1 of 1,12 of 36,31%,11 of 35,0,1:38,0,0,50%,1 of 2,16 of 37,39%,13 of 33,0,3,http://ufcstats.com/fight-details/cee1fb8ac703f34f
0 of 0,1 of 1,17 of 52,4 of 4,6 of 7,8 of 42,0 of 0,2 of 3,24 of 83,11 of 13,3 of 7,12 of 66,0:09,0,0,0%,0 of 4,20 of 55,33%,18 of 53,0,0:31,0,0,---,0 of 0,29 of 89,30%,26 of 86,0,1,http://ufcstats.com/fight-details/6fbe7dffff5f5f1e
0 of 0,0 of 0,18 of 63,1 of 2,5 of 6,12 of 55,0 of 0,0 of 0,29 of 90,4 of 6,4 of 4,21 of 80,0:02,0,0,0%,0 of 2,25 of 70,28%,18 of 63,0,1:24,0,0,---,0 of 0,51 of 112,32%,29 of 90,0,2,http://ufcstats.com/fight-details/6fbe7dffff5f5f1e
0 of 0,0 of 0,37 of 90,2 of 3,3 of 5,32 of 82,0 of 0,0 of 0,49 of 123,5 of 7,9 of 12,35 of 104,0:00,0,0,0%,0 of 1,37 of 90,41%,37 of 90,0,0:00,0,0,---,0 of 0,49 of 123,39%,49 of 123,0,3,http://ufcstats.com/fight-details/6fbe7dffff5f5f1e
0 of 0,3 of 4,12 of 28,0 of 0,0 of 0,15 of 32,0 of 0,12 of 13,12 of 35,4 of 5,10 of 11,10 of 32,2:34,1,0,---,0 of 0,33 of 55,46%,15 of 32,0,0:46,0,0,33%,1 of 3,47 of 77,50%,24 of 48,0,1,http://ufcstats.com/fight-details/7e57d7848f9faacf
0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,3 of 3,1 of 6,0 of 1,4 of 4,0 of 4,0:25,0,0,---,0 of 0,2 of 6,25%,1 of 4,0,0:37,0,2,100%,1 of 1,6 of 11,44%,4 of 9,0,2,http://ufcstats.com/fight-details/7e57d7848f9faacf
0 of 0,0 of 2,11 of 30,1 of 1,2 of 5,8 of 26,2 of 2,2 of 2,7 of 21,5 of 5,0 of 1,6 of 19,0:07,0,0,---,0 of 0,11 of 32,34%,11 of 32,0,1:29,0,3,33%,1 of 3,15 of 29,44%,11 of 25,0,1,http://ufcstats.com/fight-details/099a2db0470d456b
1 of 1,2 of 2,13 of 23,3 of 3,5 of 9,8 of 14,6 of 12,3 of 3,11 of 22,2 of 2,4 of 7,14 of 28,2:18,0,2,---,0 of 0,20 of 32,61%,16 of 26,0,0:29,0,0,---,0 of 0,27 of 45,54%,20 of 37,1,1,http://ufcstats.com/fight-details/d019250cc6d93527
0 of 1,0 of 0,29 of 40,2 of 2,7 of 8,20 of 31,1 of 2,0 of 0,7 of 21,3 of 3,1 of 2,4 of 18,1:36,0,3,100%,1 of 1,36 of 49,70%,29 of 41,0,0:50,0,0,---,0 of 0,11 of 26,34%,8 of 23,0,2,http://ufcstats.com/fight-details/d019250cc6d93527
0 of 0,0 of 0,10 of 22,2 of 2,1 of 2,7 of 18,3 of 4,2 of 2,8 of 15,3 of 4,4 of 4,6 of 13,2:10,0,2,---,0 of 0,20 of 32,45%,10 of 22,0,1:01,0,0,---,0 of 0,15 of 24,61%,13 of 21,0,3,http://ufcstats.com/fight-details/d019250cc6d93527
0 of 0,4 of 6,10 of 56,4 of 4,4 of 5,6 of 53,0 of 0,9 of 13,22 of 36,8 of 9,11 of 14,12 of 26,1:10,0,0,---,0 of 0,18 of 67,22%,14 of 62,0,1:16,0,0,33%,1 of 3,31 of 49,63%,31 of 49,0,1,http://ufcstats.com/fight-details/bd340a13bc3df8a1
0 of 0,0 of 0,6 of 20,3 of 3,1 of 2,2 of 15,4 of 4,0 of 0,13 of 18,1 of 1,4 of 5,12 of 16,0:00,0,0,---,0 of 0,6 of 20,30%,6 of 20,0,0:05,0,0,---,0 of 0,17 of 22,77%,17 of 22,1,2,http://ufcstats.com/fight-details/bd340a13bc3df8a1
0 of 0,0 of 0,29 of 70,7 of 7,0 of 2,22 of 61,0 of 0,0 of 1,14 of 46,3 of 3,6 of 11,5 of 33,0:00,0,0,---,0 of 0,29 of 70,41%,29 of 70,0,0:00,0,0,---,0 of 0,14 of 47,29%,14 of 47,0,1,http://ufcstats.com/fight-details/6ecc59654c2f519f
0 of 0,0 of 0,27 of 69,3 of 3,2 of 3,22 of 63,0 of 0,0 of 0,30 of 71,5 of 6,12 of 17,13 of 48,0:00,0,0,0%,0 of 1,27 of 69,39%,27 of 69,0,0:00,0,0,0%,0 of 1,30 of 71,42%,30 of 71,0,2,http://ufcstats.com/fight-details/6ecc59654c2f519f
0 of 0,0 of 0,11 of 30,4 of 4,1 of 1,6 of 25,10 of 11,1 of 1,19 of 28,6 of 6,12 of 14,12 of 20,0:00,0,0,---,0 of 0,14 of 34,36%,11 of 30,0,2:20,0,0,100%,2 of 2,68 of 82,75%,30 of 40,0,3,http://ufcstats.com/fight-details/6ecc59654c2f519f
1 of 3,2 of 2,1 of 6,2 of 4,1 of 1,1 of 6,0 of 0,1 of 1,2 of 8,2 of 2,1 of 1,0 of 6,1:18,1,0,---,0 of 0,6 of 13,36%,4 of 11,0,2:28,0,1,57%,4 of 7,9 of 16,33%,3 of 9,0,1,http://ufcstats.com/fight-details/5510b86a35c5614b
